Date,Open,High,Low,Close,Volume
2/3/2006,24.1,24.8,23.85,24.5,1080700
2/6/2006,24.55,24.66,24.1,24.2,771500
2/7/2006,24.05,24.2,23.45,23.5,674400
2/8/2006,23.49,23.67,23.33,23.4,335400
2/9/2006,23.56,23.82,23.51,23.62,705900
2/10/2006,23.65,23.69,23.1,23.19,276700
2/13/2006,23.19,23.2,22.77,22.83,237600
2/14/2006,22.8,22.83,22.61,22.64,256400
2/15/2006,22.7,22.73,22.24,22.31,404800
2/16/2006,22.33,22.62,22.25,22.58,463600
2/17/2006,22.72,22.92,22.68,22.9,467700
2/21/2006,23.35,23.4,23.1,23.28,714100
2/22/2006,23.15,23.3,22.85,22.9,543900
2/23/2006,22.85,23.1,22.64,22.82,380400
2/24/2006,23.2,23.45,23,23.44,535300
2/27/2006,23.2,23.25,22.92,22.98,664500
2/28/2006,23.05,23.3,22.86,23.29,579700
3/1/2006,23.28,23.28,23.05,23.24,270500
3/2/2006,23.36,23.72,23.27,23.66,885900
3/3/2006,23.77,23.89,23.56,23.88,362900
3/6/2006,23.75,23.75,23.25,23.5,588300
3/7/2006,23.29,23.34,22.97,23.09,341300
3/8/2006,22.78,22.9,22.53,22.72,243700
3/9/2006,22.85,22.99,22.73,22.95,413100
3/10/2006,22.73,22.94,22.53,22.85,398800
3/13/2006,22.85,23.16,22.69,23.15,328800
3/14/2006,23.14,23.53,23.08,23.49,331700
3/15/2006,23.47,23.54,23.16,23.23,566900
3/16/2006,23.23,23.48,23.09,23.43,642100
3/17/2006,23.47,23.52,23.25,23.32,324200
3/20/2006,23.22,23.35,22.76,22.84,495500
3/21/2006,22.8,23.04,22.65,22.92,412200
3/22/2006,23,23.05,22.76,22.88,283800
3/23/2006,22.95,23.27,22.8,23.27,224500
3/24/2006,23.22,23.39,23.13,23.22,310800
3/27/2006,23.28,23.43,23.2,23.36,147300
3/28/2006,23.39,23.68,23.39,23.66,355200
3/29/2006,23.62,23.82,23.55,23.82,319600
3/30/2006,23.82,24.18,23.82,24.11,603700
3/31/2006,23.94,24.07,23.7,23.94,402600
4/3/2006,24.18,24.34,24,24.05,406400
4/4/2006,23.94,23.99,23.75,23.92,201400
4/5/2006,24,24.2,23.95,24.07,297300
4/6/2006,24.33,24.56,24.33,24.5,619900
4/7/2006,24.35,24.43,24.15,24.39,415600
4/10/2006,24.69,24.85,24.51,24.84,497100
4/11/2006,24.85,24.95,24.6,24.94,537900
4/12/2006,24.92,25.08,24.75,24.89,517700
4/13/2006,24.75,25.05,24.65,25.05,233200
4/17/2006,25.2,25.35,25.08,25.32,526600
4/18/2006,25.38,25.71,25.31,25.65,886800
4/19/2006,25.69,26,25.55,25.9,558500
4/20/2006,25.88,25.88,25.3,25.6,640100
4/21/2006,25.67,26.21,25.51,26.14,559000
4/24/2006,25.99,26.09,25.56,25.62,481900
4/25/2006,25.83,25.9,25.52,25.7,550700
4/26/2006,25.73,25.9,25.55,25.6,493900
4/27/2006,25.45,25.51,25.12,25.2,427100
4/28/2006,25.45,25.77,25.36,25.62,453800
5/1/2006,25.74,26.05,25.67,25.9,571700
5/2/2006,26.14,26.25,25.98,26.2,516300
5/3/2006,26.19,26.22,25.6,25.73,422000
5/4/2006,25.59,25.8,25.25,25.42,445500
5/5/2006,25.63,25.77,25.5,25.7,377300
5/8/2006,25.4,25.63,25.15,25.63,342900
5/9/2006,25.84,26.2,25.8,26.03,1164700
5/10/2006,26.13,26.68,26.03,26.68,757600
5/11/2006,27.17,27.17,26.81,26.94,1037600
5/12/2006,27,27.15,26.72,26.85,1040100
5/15/2006,26.12,26.21,25.8,25.94,685200
5/16/2006,25.95,26.29,25.81,26.02,602500
5/17/2006,26.25,26.25,25.63,25.98,785100
5/18/2006,25.89,26,25.73,25.99,263100
5/19/2006,25.55,25.6,25.2,25.42,724900
5/22/2006,25.16,25.63,25.1,25.62,863900
5/23/2006,25.93,26.27,25.85,26.02,855100
5/24/2006,25.73,25.81,25.25,25.36,402700
5/25/2006,25.46,25.8,25.36,25.8,324200
5/26/2006,25.87,26.2,25.74,26.05,333400
5/30/2006,26.13,26.17,25.76,25.91,429400
5/31/2006,25.75,25.84,25.23,25.52,337500
6/1/2006,25.2,25.52,24.9,25.21,584800
6/2/2006,25.4,25.86,25.3,25.71,349300
6/5/2006,25.77,25.92,25.55,25.64,492100
6/6/2006,25.4,25.5,25.2,25.42,329000
6/7/2006,25.3,25.35,25.1,25.25,176800
6/8/2006,25.01,25.06,24.7,24.98,722700
6/9/2006,25.15,25.3,25,25.02,343800
6/12/2006,25.18,25.28,24.65,24.72,362400
6/13/2006,24.3,24.55,24,24.05,900600
6/14/2006,24.05,24.25,24,24.04,265700
6/15/2006,24.3,24.43,24.17,24.3,289100
6/16/2006,24.21,24.35,24,24.35,202400
6/19/2006,24.09,24.17,23.84,23.9,178200
6/20/2006,24.01,24.14,23.9,24.1,318000
6/21/2006,24.05,24.5,23.97,24.45,302100
6/22/2006,24.43,24.53,24.31,24.44,171900
6/23/2006,24.22,24.5,24.22,24.39,151400
6/26/2006,24.36,24.7,24.2,24.66,150400
6/27/2006,24.68,24.87,24.52,24.75,227800
6/28/2006,24.67,24.77,24.43,24.65,205500
6/29/2006,24.76,25.19,24.73,25.19,346300
6/30/2006,25.28,25.45,25.28,25.3,405600
7/5/2006,25.55,25.79,25.5,25.77,998200
7/6/2006,25.77,25.94,25.6,25.94,675800
7/7/2006,25.94,25.94,25.65,25.75,391300
7/10/2006,25.65,25.76,25.46,25.57,204700
7/11/2006,25.99,26.18,25.86,26.13,232800
7/12/2006,26.3,26.4,25.95,26.39,395000
7/13/2006,26.42,26.53,26.27,26.38,418000
7/14/2006,26.7,26.74,26.33,26.5,462800
7/17/2006,26.32,26.49,25.81,25.9,191500
7/18/2006,26.09,26.26,25.55,25.74,206100
7/19/2006,25.67,25.83,25.25,25.83,236400
