Date,Open,High,Low,Close,Volume
12/2/2003,84.4,84.6,84,84.6,589100
12/3/2003,84.51,84.78,83.95,84.26,1446100
12/4/2003,84.26,84.67,84.19,84.45,561500
12/5/2003,85.3,86.23,85.12,85.8,1163800
12/8/2003,85.78,85.78,85.09,85.2,436200
12/9/2003,85.45,85.7,84.36,84.6,939200
12/10/2003,85.07,85.1,84.55,84.74,555700
12/11/2003,84.51,85.38,84.37,85.35,510500
12/12/2003,85.42,85.88,85.42,85.51,553100
12/15/2003,85.5,85.88,85.18,85.46,690000
12/16/2003,85.4,85.86,85.27,85.74,462800
12/17/2003,86.23,86.65,86.2,86.32,533100
12/18/2003,86.62,87.1,86.3,87.1,708100
12/19/2003,86.97,87.07,86.61,87.07,477600
12/22/2003,87.12,87.34,86.65,86.83,483700
12/23/2003,86.53,86.7,85.85,85.85,446600
12/24/2003,86.37,86.66,86.17,86.66,138900
12/26/2003,86.9,87.04,86.9,86.98,80500
12/29/2003,86.7,86.77,86.17,86.2,187800
12/30/2003,85.8,86.14,85.6,85.85,393900
1/2/2004,85.09,85.09,84.08,84.44,867100
1/5/2004,84.08,84.38,83.9,84.22,626400
1/6/2004,84.54,85.39,84.5,85.15,690500
1/7/2004,85.1,85.7,84.89,85.49,252000
1/8/2004,85.3,85.64,85.18,85.46,549900
1/9/2004,86.88,87.07,86.01,86.95,1623000
1/12/2004,86.6,87.38,86.6,86.88,863200
1/13/2004,86.79,87.47,86.56,87.47,465700
1/14/2004,87.49,87.92,87.15,87.9,1180300
1/15/2004,87.95,88.31,87.6,88.23,1537200
1/16/2004,88.68,88.8,87.61,87.61,751800
1/20/2004,87.5,87.93,87.5,87.59,629600
1/21/2004,87.7,87.81,87.44,87.8,570500
1/22/2004,87.95,88.48,87.71,88.44,443600
1/23/2004,88.56,88.9,87.26,87.38,1021300
1/26/2004,87.3,87.36,86.67,86.85,639500
1/27/2004,86.73,87.4,86.73,87.39,576100
1/28/2004,87.25,87.85,85.86,86.62,1823800
1/29/2004,86.22,86.58,86.02,86.44,814500
1/30/2004,86.9,87.22,86.6,87.04,526200
2/3/2004,86.92,86.99,86.6,86.94,350900
