Date,Open,High,Low,Close,Volume
10/10/2001,48.08,49.18,48.08,49.15,665600
10/11/2001,49.88,50.13,49.73,50.05,540200
10/12/2001,49.73,49.96,48.87,49.67,353400
10/15/2001,49.4,49.78,49.18,49.74,458600
10/16/2001,49.7,50.31,49.65,50.02,1283000
10/17/2001,50.4,50.51,49,49,516200
10/18/2001,49.01,49.14,48.54,48.75,476600
10/19/2001,48.56,49.05,48.25,48.88,536800
10/22/2001,48.85,49.72,48.81,49.61,449800
10/23/2001,49.85,50.09,49.38,49.43,397600
10/24/2001,49.5,49.7,49.21,49.4,445000
10/25/2001,49,50.15,48.7,50.1,773600
10/26/2001,50.13,50.58,49.99,50.37,308000
10/29/2001,50.2,50.2,49.2,49.2,339800
10/30/2001,48.89,48.89,48.09,48.39,436800
10/31/2001,48.68,49.07,48.45,48.45,227400
11/1/2001,48.73,49.53,48.07,49.47,343200
11/2/2001,49.1,49.75,49.1,49.55,308000
11/5/2001,50.4,50.43,50.11,50.26,241400
11/6/2001,50.21,51.01,50,50.99,388000
11/7/2001,51,51.37,50.84,50.9,154800
11/8/2001,51.28,51.75,50.89,50.93,128200
11/9/2001,50.92,51.13,50.67,51.04,207400
11/12/2001,50.49,51.07,50.03,50.95,368400
11/13/2001,51.6,51.94,51.44,51.85,153400
11/14/2001,52.43,52.43,51.72,52.17,207800
11/15/2001,52.1,52.3,51.81,52.01,203800
11/16/2001,52.13,52.17,51.56,51.99,163800
11/19/2001,52.25,52.52,52.04,52.52,273800
11/20/2001,52.58,52.61,52.14,52.14,84000
11/21/2001,52.2,52.2,51.63,51.82,128600
11/23/2001,51.9,52.55,51.9,52.46,90800
11/26/2001,52.67,52.88,52.34,52.78,139000
11/27/2001,52.75,53.18,52.2,52.63,241400
11/28/2001,52.45,52.45,51.52,51.52,207600
11/29/2001,51.91,52.31,51.56,52.31,170400
11/30/2001,52.19,52.4,52.14,52.14,331800
12/3/2001,51.84,51.95,51.57,51.78,263800
12/4/2001,51.98,52.46,51.83,52.46,184600
12/5/2001,52.98,53.91,52.9,53.75,201000
12/6/2001,53.85,53.95,53.51,53.65,275800
12/7/2001,53.68,53.68,53.1,53.54,173400
12/10/2001,53.2,53.31,52.48,52.53,346800
12/11/2001,52.75,53,52.27,52.39,254400
12/12/2001,52.58,52.6,51.85,52.36,315400
12/13/2001,51.99,52.14,51.5,51.58,111000
12/14/2001,51.53,51.93,51.4,51.82,192400
12/17/2001,51.85,52.39,51.82,52.2,81600
12/18/2001,52.7,52.83,52.56,52.74,324600
12/19/2001,52.5,53.14,52.38,52.98,112200
12/20/2001,52.95,53.04,52.5,52.5,131800
12/21/2001,52.58,52.92,52.55,52.78,338200
12/24/2001,52.7,52.76,52.69,52.7,123200
12/26/2001,52.58,53.31,52.58,52.96,94600
12/27/2001,53.1,53.28,53.01,53.27,94400
12/28/2001,53.47,53.63,53.33,53.43,220000
12/31/2001,53.48,53.48,52.7,52.7,137600
1/2/2002,53,53.17,52.31,53.13,1627600
1/3/2002,53.23,53.7,53.18,53.7,354400
1/4/2002,53.9,54.21,53.65,54.05,487200
1/7/2002,54.38,54.38,53.68,53.7,760400
1/8/2002,53.81,53.81,53.43,53.55,278600
1/9/2002,53.58,54.2,53.24,53.37,219200
1/10/2002,53.33,53.53,53.17,53.33,281000
1/11/2002,53.5,53.5,52.87,52.88,80000
1/14/2002,52.85,52.85,52.47,52.47,442600
1/15/2002,52.7,52.96,52.46,52.83,271800
1/16/2002,52.43,52.52,51.95,51.95,346400
1/17/2002,52.45,52.53,52.18,52.49,212000
1/18/2002,52.2,52.46,51.88,52.01,215800
1/22/2002,52.43,52.43,51.55,51.6,140000
1/23/2002,51.73,52.17,51.48,52.05,42000
1/24/2002,52.38,52.55,52.23,52.28,50800
1/25/2002,52.23,52.52,52.05,52.36,47000
1/28/2002,52.48,52.54,52.05,52.32,439400
1/29/2002,52.5,52.54,50.93,51.02,117800
1/30/2002,51.1,51.58,50.22,51.5,300800
1/31/2002,51.83,52.24,51.66,52.24,237400
2/1/2002,52.34,52.34,51.82,51.93,199200
2/4/2002,51.9,51.9,50.62,50.68,183000
2/5/2002,50.73,50.98,50.23,50.5,204800
2/6/2002,50.38,50.68,50.01,50.16,304200
2/7/2002,50.01,50.55,49.95,49.95,198200
2/8/2002,50.08,50.68,49.97,50.67,160600
2/11/2002,50.79,51.43,50.73,51.37,381200
2/12/2002,51.25,51.49,51.05,51.24,271000
2/13/2002,51.34,51.84,51.34,51.72,91800
2/14/2002,51.93,52.07,51.47,51.65,110200
2/15/2002,51.78,51.78,51.01,51.09,51600
2/19/2002,50.99,50.99,50.07,50.14,181000
2/20/2002,50.25,50.76,49.73,50.76,121400
2/21/2002,50.64,50.91,49.95,49.95,46200
2/22/2002,49.9,50.6,49.77,50.32,47600
2/25/2002,50.58,51.3,50.58,51.21,146000
2/26/2002,51.35,51.5,50.86,51.38,51400
2/27/2002,51.26,51.9,50.95,51.2,2348200
2/28/2002,51.45,51.8,51.25,51.32,161200
3/1/2002,51.44,52.35,51.44,52.35,304800
3/4/2002,52.5,53.37,52.35,53.33,302600
3/5/2002,53.33,53.56,52.95,53.03,136600
3/6/2002,53.13,53.91,53.02,53.8,236600
3/7/2002,53.99,54.05,53.37,53.57,74600
3/8/2002,54.3,54.34,53.77,53.97,371200
3/11/2002,54,54.35,53.7,54.15,55600
3/12/2002,53.75,54.16,53.5,54.04,73000
3/13/2002,54,54,53.44,53.54,344400
3/14/2002,53.51,53.68,53.4,53.49,57000
3/15/2002,53.68,54.08,53.6,53.96,60000
3/18/2002,54.3,54.35,53.78,54,378600
3/19/2002,54.33,54.42,54.11,54.25,97200
3/20/2002,54,54,53.38,53.38,267600
3/21/2002,53.48,53.71,52.94,53.61,71200
3/22/2002,53.6,53.7,53.28,53.4,80800
3/25/2002,53.3,53.34,52.45,52.45,294400
3/26/2002,52.6,53.19,52.56,52.82,88800
3/27/2002,52.89,53.23,52.74,53.13,63200
3/28/2002,53.18,53.53,53.06,53.06,637200
4/1/2002,53,53.24,52.53,53.09,1573800
4/2/2002,52.97,53,52.74,52.75,511800
4/3/2002,52.83,52.83,52,52.17,51800
4/4/2002,52.25,52.45,52.04,52.33,51600
4/5/2002,52.62,52.62,52.14,52.25,45900
4/8/2002,51.83,52.38,51.68,52.38,77500
4/9/2002,52.5,52.53,52.03,52.1,37000
4/10/2002,52.18,52.72,52.17,52.72,19900
4/11/2002,52.65,52.65,51.53,51.53,47500
4/12/2002,51.8,52,51.53,51.93,39500
4/15/2002,51.98,52.08,51.44,51.62,39100
